	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0436083	43	6	1	1	2	1	0	48	0	0	37.8353	 	0	0
UL	0.0442083	44	2	1	1	2	1	0	48	0	0	37.8353 	0	0
UL	0.0443083	44	3	1	1	2	1	0	48	0	0	37.8353 	0	0
UL	0.0444083	44	4	1	1	2	1	0	48	0	0	37.8353 	0	0
DL	0.0447083	44	7	1	1	2	1	0	1776	28	0	37.8353	 	0	0
DL	0.251812	251	8	1	2	2	1	0	100	0	0	40.2119	 	0	0
UL	0.252412	252	4	1	2	2	1	0	100	0	0	40.1335 	0	0
UL	0.252512	252	5	1	2	2	1	0	100	0	0	40.0936 	0	0
UL	0.252612	252	6	1	2	2	1	0	100	0	0	40.1234 	0	0
DL	0.252908	252	9	1	1	2	1	0	1776	28	0	40.136	 	0	0
DL	0.275958	275	9	1	13	2	1	0	670	0	0	40.0471	 	0	0
UL	0.276512	276	5	1	2	2	1	0	100	0	0	39.8648 	0	0
UL	0.276612	276	6	1	2	2	1	0	100	0	0	39.8745 	0	0
UL	0.276712	276	7	1	2	2	1	0	100	0	0	39.8606 	0	0
DL	0.277008	277	0	1	1	2	1	0	1776	28	0	39.8778	 	0	0
DL	0.300096	300	0	1	22	2	1	0	1131	0	0	39.638	 	0	0
DL	0.300112	300	1	1	2	2	1	0	100	0	0	39.6454	 	0	0
UL	0.300608	300	6	1	1	2	1	0	48	0	0	39.6312 	0	0
UL	0.300712	300	7	1	2	2	1	0	100	0	0	39.6508 	0	0
UL	0.300812	300	8	1	2	2	1	0	100	0	0	39.6717 	0	0
UL	0.300908	300	9	1	1	2	1	0	1776	28	0	39.6582 	0	0
DL	0.301108	301	1	1	1	2	1	0	1776	28	0	39.7088	 	0	0
UL	0.321008	321	0	1	1	2	1	0	48	0	0	39.8526 	0	0
UL	0.321108	321	1	1	1	2	1	0	48	0	0	39.8324 	0	0
UL	0.321208	321	2	1	1	2	1	0	48	0	0	39.8183 	0	0
DL	0.321508	321	5	1	1	2	1	0	48	0	0	39.8741	 	0	0
DL	0.324212	324	2	1	2	2	1	0	3558	28	0	39.9741	 	0	0
UL	0.324808	324	8	1	1	2	1	0	1776	28	0	40.039 	0	0
UL	0.324908	324	9	1	1	2	1	0	1776	28	0	40.0342 	0	0
UL	0.325008	325	0	1	1	2	1	0	1776	28	0	40.0314 	0	0
UL	0.345112	345	1	1	2	2	1	0	100	0	0	40.8653 	0	0
UL	0.345212	345	2	1	2	2	1	0	100	0	0	40.858 	0	0
UL	0.345312	345	3	1	2	2	1	0	100	0	0	40.8903 	0	0
DL	0.345608	345	6	1	1	2	1	0	48	0	0	40.925	 	0	0
DL	0.348312	348	3	1	2	2	1	0	3558	28	0	40.743	 	0	0
UL	0.348908	348	9	1	1	2	1	0	1776	28	0	40.6332 	0	0
UL	0.349008	349	0	1	1	2	1	0	1776	28	0	40.611 	0	0
UL	0.349108	349	1	1	1	2	1	0	1776	28	0	40.6046 	0	0
UL	0.369217	369	2	1	3	2	1	0	152	0	0	40.8767 	0	0
UL	0.369317	369	3	1	3	2	1	0	152	0	0	40.8633 	0	0
UL	0.369417	369	4	1	3	2	1	0	152	0	0	40.8801 	0	0
DL	0.369708	369	7	1	1	2	1	0	48	0	0	40.9159	 	0	0
DL	0.372412	372	4	1	2	2	1	0	3558	28	0	40.8247	 	0	0
UL	0.373008	373	0	1	1	2	1	0	1776	28	0	40.8417 	0	0
UL	0.373108	373	1	1	1	2	1	0	1776	28	0	40.8193 	0	0
UL	0.373208	373	2	1	1	2	1	0	1776	28	0	40.8351 	0	0
UL	0.393321	393	3	1	4	2	1	0	204	0	0	40.8397 	0	0
UL	0.393421	393	4	1	4	2	1	0	204	0	0	40.7982 	0	0
UL	0.393521	393	5	1	4	2	1	0	204	0	0	40.7691 	0	0
DL	0.393808	393	8	1	1	2	1	0	48	0	0	40.8539	 	0	0
DL	0.396517	396	5	1	3	2	1	0	5341	28	0	40.8469	 	0	0
DL	0.396608	396	6	1	1	2	1	0	1776	28	0	40.8398	 	0	0
UL	0.397108	397	1	1	1	2	1	0	1776	28	0	40.8004 	0	0
UL	0.397208	397	2	1	1	2	1	0	1776	28	0	40.7401 	0	0
UL	0.397308	397	3	1	1	2	1	0	1776	28	0	40.7254 	0	0
UL	0.417425	417	4	1	5	2	1	0	256	0	0	36.8539 	0	0
UL	0.417525	417	5	1	5	2	1	0	256	0	0	36.8977 	0	0
UL	0.417625	417	6	1	5	2	1	0	256	0	0	36.8792 	0	0
DL	0.417908	417	9	1	1	2	1	0	48	0	0	36.9942	 	0	0
DL	0.420621	420	6	1	4	2	1	0	7120	28	0	36.7937	 	0	0
DL	0.420708	420	7	1	1	2	1	0	1776	28	0	36.811	 	0	0
UL	0.421208	421	2	1	1	2	1	0	1776	28	0	36.871 	0	0
UL	0.421308	421	3	1	1	2	1	0	1776	28	0	36.8937 	0	0
UL	0.421408	421	4	1	1	2	1	0	1776	28	0	36.914 	0	0
UL	0.441537	441	5	1	8	2	1	0	411	0	0	36.9127 	0	0
UL	0.441637	441	6	1	8	2	1	0	411	0	0	36.9368 	0	0
UL	0.441737	441	7	1	8	2	1	0	411	0	0	36.9092 	0	0
DL	0.442008	442	0	1	1	2	1	0	48	0	0	36.7972	 	0	0
DL	0.444729	444	7	1	6	2	1	0	10685	28	0	36.777	 	0	0
DL	0.444808	444	8	1	1	2	1	0	1776	28	0	36.7514	 	0	0
UL	0.445308	445	3	1	1	2	1	0	1776	28	0	36.7546 	0	0
UL	0.445408	445	4	1	1	2	1	0	1776	28	0	36.7388 	0	0
UL	0.445508	445	5	1	1	2	1	0	1776	28	0	36.6749 	0	0
UL	0.46565	465	6	1	11	2	1	0	567	0	0	35.9661 	0	0
UL	0.46575	465	7	1	11	2	1	0	567	0	0	35.9855 	0	0
UL	0.46585	465	8	1	11	2	1	0	567	0	0	36.0326 	0	0
DL	0.466108	466	1	1	1	2	1	0	48	0	0	36.0537	 	0	0
DL	0.468842	468	8	1	9	2	1	0	16030	28	0	36.2488	 	0	0
DL	0.468908	468	9	1	1	2	1	0	1776	28	0	36.2232	 	0	0
UL	0.469408	469	4	1	1	2	1	0	1776	28	0	36.2802 	0	0
UL	0.469508	469	5	1	1	2	1	0	1776	28	0	36.2705 	0	0
UL	0.469608	469	6	1	1	2	1	0	1776	28	0	36.257 	0	0
UL	0.489775	489	7	1	17	2	1	0	872	0	0	35.9072 	0	0
UL	0.489875	489	8	1	17	2	1	0	872	0	0	35.9021 	0	0
UL	0.489975	489	9	1	17	2	1	0	872	0	0	35.8935 	0	0
DL	0.490208	490	2	1	1	2	1	0	48	0	0	35.8036	 	0	0
DL	0.492962	492	9	1	14	2	1	0	24936	28	0	35.6	 	0	0
DL	0.493008	493	0	1	1	2	1	0	1776	28	0	35.621	 	0	0
UL	0.493508	493	5	1	1	2	1	0	1776	28	0	35.7786 	0	0
UL	0.493608	493	6	1	1	2	1	0	1776	28	0	35.7606 	0	0
UL	0.493708	493	7	1	1	2	1	0	1776	28	0	35.7892 	0	0
UL	0.513896	513	8	1	22	2	1	0	1131	0	0	36.3662 	0	0
UL	0.513996	513	9	1	22	2	1	0	1131	0	0	36.365 	0	0
UL	0.514108	514	1	1	1	2	1	0	1776	28	0	36.3517 	0	0
DL	0.514308	514	3	1	1	2	1	0	48	0	0	36.2849	 	0	0
DL	0.517092	517	0	1	21	2	1	0	37408	28	0	36.4585	 	0	0
DL	0.517108	517	1	1	1	2	1	0	1776	28	0	36.4591	 	0	0
UL	0.517612	517	6	1	2	2	1	0	3558	28	0	36.4927 	0	0
UL	0.517712	517	7	1	2	2	1	0	3558	28	0	36.5025 	0	0
UL	0.517812	517	8	1	2	2	1	0	3558	28	0	36.4856 	0	0
UL	0.537996	537	9	1	22	2	1	0	1131	0	0	35.6966 	0	0
UL	0.538096	538	0	1	22	2	1	0	1131	0	0	35.6794 	0	0
UL	0.538212	538	2	1	2	2	1	0	3558	28	0	35.7026 	0	0
DL	0.538408	538	4	1	1	2	1	0	48	0	0	35.6699	 	0	0
DL	0.541196	541	1	1	22	2	1	0	39187	28	0	35.4622	 	0	0
DL	0.541242	541	2	1	9	2	1	0	16030	28	0	35.447	 	0	0
DL	0.541308	541	3	1	1	2	1	0	1776	28	0	35.4875	 	0	0
UL	0.541712	541	7	1	2	2	1	0	3558	28	0	35.4057 	0	0
UL	0.541812	541	8	1	2	2	1	0	3558	28	0	35.4332 	0	0
UL	0.541912	541	9	1	2	2	1	0	3558	28	0	35.3956 	0	0
UL	0.562096	562	0	1	22	2	1	0	1131	0	0	35.1532 	0	0
UL	0.562196	562	1	1	22	2	1	0	1131	0	0	35.1571 	0	0
UL	0.562296	562	2	1	22	2	1	0	1131	0	0	35.1705 	0	0
UL	0.562412	562	4	1	2	2	1	0	3558	28	0	35.1702 	0	0
DL	0.562508	562	5	1	1	2	1	0	48	0	0	35.1502	 	0	0
DL	0.565296	565	2	1	22	2	1	0	39187	28	0	35.057	 	0	0
DL	0.565396	565	3	1	22	2	1	0	39187	28	0	35.0764	 	0	0
DL	0.565417	565	4	1	3	2	1	0	5341	28	0	35.0509	 	0	0
DL	0.565508	565	5	1	1	2	1	0	1776	28	0	35.0424	 	0	0
UL	0.565812	565	8	1	2	2	1	0	3558	28	0	35.0412 	0	0
UL	0.565917	565	9	1	3	2	1	0	5341	28	0	35.0374 	0	0
UL	0.566017	566	0	1	3	2	1	0	5341	28	0	35.0452 	0	0
UL	0.566108	566	1	1	1	2	1	0	1776	28	0	35.0325 	0	0
DL	0.572608	572	6	1	1	2	1	0	1776	28	0	34.7803	 	0	0
DL	0.585508	585	5	1	1	2	1	0	48	0	0	34.6941	 	0	0
UL	0.586108	586	1	1	1	2	1	0	48	0	0	34.5661 	0	0
DL	0.589396	589	3	1	22	2	1	0	39187	28	0	34.5893	 	0	0
DL	0.589496	589	4	1	22	2	1	0	39187	28	0	34.57	 	0	0
DL	0.589596	589	5	1	22	2	1	0	39187	28	0	34.5401	 	0	0
DL	0.589621	589	6	1	4	2	1	0	7120	28	0	34.5518	 	0	0
